 ; ;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
 ;Willow Ptarmigan;0;0;0;..;0;0;0;0;0
Lier;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;0;0;0;0;0
Røyken;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hurum;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;..;0;0;0;0;0
Flesberg;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Rollag;;;;;;;;;;
 ;Willow Ptarmigan;150;100;100;100;..;150;..;..;100
Nore og Uvdal;;;;;;;;;;
 ;Willow Ptarmigan;1850;1100;1100;700;550;600;900;550;1050
Unknown municipalities, Buskerud;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Horten;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Holmestrand;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Horten (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tønsberg;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tønsberg (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sandefjord (-2016);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Larvik (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Stavern (1944-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Larvik;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sandefjord;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Svelvik;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sande (Vestf.);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hof;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Re;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Borre (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ramnes (-2001);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Andebu (-2016);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Stokke (-2016);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sem (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Nøtterøy;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tjøme;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tjølling (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Brunlanes (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hedrum (-1987);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Lardal;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown municipalities, Vestfold;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Porsgrunn;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Skien;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;..;..;..
Notodden;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;150;100;..;150;100;150
Siljan;;;;;;;;;;
 ;Willow Ptarmigan;0;..;..;0;0;0;0;0;0
Bamble;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;0;0;0;0;0;0
Kragerø;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Drangedal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Nome;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;..;0;0;0;0
Bø (Telem.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Sauherad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Tinn;;;;;;;;;;
 ;Willow Ptarmigan;1200;900;750;550;300;350;600;400;500
Hjartdal;;;;;;;;;;
 ;Willow Ptarmigan;300;250;250;300;150;150;150;100;200
Seljord;;;;;;;;;;
 ;Willow Ptarmigan;250;200;250;250;150;150;150;150;150
Kviteseid;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Nissedal;;;;;;;;;;
 ;Willow Ptarmigan;100;..;150;100;..;..;..;..;..
Fyresdal;;;;;;;;;;
 ;Willow Ptarmigan;500;400;500;300;300;300;450;350;350
Tokke;;;;;;;;;;
 ;Willow Ptarmigan;150;..;150;150;..;..;..;..;..
Vinje;;;;;;;;;;
 ;Willow Ptarmigan;1350;1250;1150;800;550;600;750;450;600
Unknown municipalities, Telemark;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Risør;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Arendal (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Grimstad;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;0;0;0;0;0
Arendal;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;..;0;0;0;0;0
Gjerstad;;;;;;;;;;
 ;Willow Ptarmigan;0;..;..;..;0;0;0;0;0
Vegårshei;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;0;0;0;0;0;0
Tvedestrand;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Moland (1962-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Froland;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;..;..
Øyestad (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tromøy (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hisøy (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fjære (-1970);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Landvik (-1970);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Lillesand;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;0;0;0;0;0
Birkenes;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;..;..;0;0;0;0
Åmli;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;100;..;..;..;..;..
Iveland;;;;;;;;;;
 ;Willow Ptarmigan;0;..;0;0;0;0;0;0;0
Evje og Hornnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;..
Bygland;;;;;;;;;;
 ;Willow Ptarmigan;800;750;900;500;300;350;700;500;650
Valle;;;;;;;;;;
 ;Willow Ptarmigan;1150;1250;1600;900;700;750;900;700;700
Bykle;;;;;;;;;;
 ;Willow Ptarmigan;700;750;850;450;400;450;650;400;500
Unknown municipalities, Aust-Agder;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Kristiansand;;;;;;;;;;
 ;Willow Ptarmigan;0;0;..;0;0;0;0;0;0
Mandal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;0;0;0;0;0
Farsund;;;;;;;;;;
