"ID"	"Total"	"TotalTerrestrial"	"nuTypes"	"Forest"	"Open"	"HabitatClass"
"500"	797	2189	2182	19	351	1831	17
"501"	798	1209	1202	18	146	1056	17
"502"	799	2412	2323	17	1546	777	8
"503"	800	2501	2499	20	401	2098	14
"504"	801	2367	2361	19	406	1955	14
"505"	802	1478	1469	16	753	716	9
"506"	803	1718	1641	15	928	713	2
"507"	804	1892	1888	15	1199	689	6
"508"	805	2168	2158	15	1096	1062	17
"509"	806	1343	1289	16	603	686	1
"510"	807	1481	1465	13	13	1452	14
"511"	808	1477	1457	12	14	1443	14
"512"	809	1481	1478	10	7	1471	14
"513"	810	1482	1413	11	27	1386	14
"514"	811	1479	1466	9	19	1447	14
"515"	812	1927	1835	18	134	1701	17
"516"	813	1482	1443	10	12	1431	14
"517"	814	1926	1890	16	120	1770	17
"518"	815	1873	1865	14	582	1283	17
"519"	816	1968	1963	11	32	1931	17
"520"	817	2144	2098	14	64	2034	17
"521"	818	1792	1789	18	353	1436	17
"522"	819	1031	1016	15	46	970	14
"523"	820	1480	1477	17	910	567	8
"524"	821	2141	2038	16	853	1185	17
"525"	822	1744	1744	16	378	1366	17
"526"	823	2308	2250	20	233	2017	14
"527"	824	1786	1782	15	140	1642	17
"528"	825	1879	1879	14	75	1804	17
"529"	826	2055	2050	16	211	1839	14
"530"	827	2164	2164	15	336	1828	14
"531"	828	1055	1020	17	335	685	9
"532"	829	1838	1831	18	435	1396	14
"533"	830	2216	2166	17	909	1257	9
"534"	831	2546	2546	17	225	2321	17
"535"	832	2346	2341	18	351	1990	17
"536"	833	2147	2142	16	148	1994	17
"537"	834	1847	1841	19	203	1638	17
"538"	835	775	775	14	433	342	8
"539"	836	530	530	14	296	234	8
"540"	837	1776	1776	15	95	1681	17
"541"	838	1520	1520	12	71	1449	17
"542"	839	1460	1430	13	57	1373	14
"543"	840	1286	1257	15	42	1215	14
"544"	841	2110	2099	18	350	1749	17
"545"	842	1096	1096	17	433	663	8
"546"	843	1941	1941	16	226	1715	17
"547"	844	1931	1852	18	888	964	9
"548"	845	1815	1782	17	797	985	9
"549"	846	1570	1484	13	846	638	8
"550"	847	1312	1254	17	798	456	8
"551"	848	1050	872	16	548	324	8
"552"	849	1894	1892	18	72	1820	17
"553"	850	1881	1881	17	162	1719	14
"554"	851	407	407	9	128	279	9
"555"	852	1202	1202	15	375	827	9
"556"	853	1244	1242	16	396	846	9
"557"	854	1877	1854	19	424	1430	14
"558"	855	2243	2242	16	610	1632	9
"559"	856	2242	2094	16	666	1428	9
"560"	857	1824	1820	18	378	1442	14
"561"	858	2032	2031	17	98	1933	17
"562"	859	1840	1791	17	147	1644	14
"563"	860	1812	1812	15	289	1523	17
"564"	861	1825	1825	15	99	1726	17
"565"	862	1835	1793	20	171	1622	17
"566"	863	2251	2248	17	268	1980	17
"567"	864	1924	1916	17	947	969	14
"568"	865	1926	1924	17	1084	840	8
"569"	866	1925	1924	14	1001	923	17
"570"	867	1922	1922	16	930	992	8
"571"	868	1566	1540	18	104	1436	17
"572"	869	1831	1819	17	518	1301	17
"573"	870	1744	1721	16	663	1058	17
"574"	871	1585	1572	15	281	1291	17
"575"	872	1901	1815	22	103	1712	17
"576"	873	1678	1651	16	455	1196	17
"577"	874	1499	1479	18	252	1227	17
"578"	875	1276	1205	16	59	1146	14
"579"	876	1568	1492	19	247	1245	17
"580"	877	1762	1760	16	294	1466	17
"581"	878	1703	1682	18	333	1349	17
"582"	879	1655	1529	18	154	1375	17
"583"	880	1700	1618	17	164	1454	17
"584"	881	1678	1653	18	99	1554	14
"585"	882	1989	1922	20	387	1535	17
"586"	883	1540	1526	17	216	1310	17
"587"	884	2410	2344	20	1309	1035	17
"588"	885	2899	2838	17	788	2050	17
"589"	886	1608	1577	16	1146	431	6
"590"	887	2903	2870	16	611	2259	17
"591"	888	2604	2358	17	226	2132	17
"592"	889	1900	1729	17	697	1032	17
"593"	890	2785	2689	20	1218	1471	17
"594"	891	1690	1665	18	257	1408	14
"595"	892	1587	1580	16	438	1142	14
"596"	893	1601	1527	17	571	956	17
"597"	894	1516	1388	18	494	894	17
"598"	895	2907	2835	17	301	2534	17
"599"	896	2400	2396	17	1607	789	8
"600"	897	2207	2155	18	1272	883	17
"601"	898	2116	2080	16	1664	416	8
"602"	899	1994	1949	16	1462	487	8
"603"	900	1648	1648	15	1269	379	8
"604"	901	2411	2357	19	432	1925	14
"605"	902	1505	1495	15	961	534	8
"606"	903	1268	1218	16	543	675	11
"607"	904	1189	1151	16	740	411	8
"608"	905	1110	1110	12	871	239	7
"609"	906	1476	1407	16	509	898	17
"610"	907	1502	1450	16	636	814	17
"611"	908	2499	2484	18	1619	865	8
"612"	909	1780	1645	18	597	1048	14
"613"	910	2267	2259	17	1687	572	5
"614"	911	1856	1799	18	489	1310	14
"615"	912	1848	1772	20	308	1464	17
"616"	913	2259	2155	19	443	1712	14
"617"	914	2395	2262	19	368	1894	14
"618"	915	2569	2497	20	687	1810	17
"619"	916	1919	1787	18	398	1389	17
"620"	917	920	847	17	594	253	6
"621"	918	1121	1037	17	362	675	17
"622"	919	1804	1750	20	529	1221	14
"623"	920	1489	1391	16	432	959	17
"624"	921	1746	1672	20	826	846	14
"625"	922	1939	1934	16	293	1641	17
"626"	923	1164	1141	19	245	896	17
"627"	924	1583	1537	17	163	1374	17
"628"	925	2007	1934	15	38	1896	14
"629"	926	1740	1710	19	398	1312	17
"630"	927	1811	1786	22	202	1584	14
"631"	928	1697	1660	18	591	1069	9
"632"	929	1877	1809	21	82	1727	14
"633"	930	1565	1565	16	239	1326	14
"634"	931	1834	1807	20	485	1322	14
"635"	932	2011	1939	20	220	1719	17
"636"	933	1630	1586	16	467	1119	14
"637"	934	1814	1737	19	210	1527	17
"638"	935	1700	1617	19	555	1062	14
"639"	936	1875	1871	17	650	1221	17
"640"	937	1518	1393	19	566	827	17
"641"	938	1701	1656	20	286	1370	17
"642"	939	1700	1666	18	296	1370	17
"643"	940	1649	1636	17	659	977	17
"644"	941	1699	1693	18	506	1187	17
"645"	942	1611	1585	18	615	970	14
"646"	943	1252	1234	17	50	1184	13
"647"	944	1606	1578	13	4	1574	17
"648"	945	1611	1553	15	28	1525	17
"649"	946	1254	1221	13	130	1091	17
"650"	947	1295	1284	13	32	1252	17
"651"	948	1209	1160	15	59	1101	17
"652"	949	1986	1928	14	62	1866	17
"653"	950	1833	1832	14	36	1796	17
"654"	951	1697	1694	13	29	1665	17
"655"	952	1688	1645	15	38	1607	9
"656"	953	1742	1715	16	36	1679	17
"657"	954	1898	1894	16	80	1814	17
"658"	955	2122	2068	17	264	1804	9
"659"	956	1766	1745	19	200	1545	17
"660"	957	2016	2007	18	353	1654	17
"661"	958	1652	1646	15	41	1605	14
"662"	959	1763	1754	15	30	1724	14
"663"	960	1754	1750	13	33	1717	17
"664"	961	2592	2591	17	744	1847	9
"665"	962	1922	1819	18	257	1562	17
"666"	963	698	661	15	164	497	17
"667"	964	2227	2163	17	301	1862	17
"668"	965	1414	1396	14	235	1161	17
